ID;NumberZ;Shifr;Napr;Prof;Uroven;FormaOb;Fin;Zach;Sogl
19289084-4D40-4BDB-8174-2DDDC3FE7069;2668;40.00.01;Юриспруденция;;Бакалавриат;Очная форма;С оплатой обучения;0;0
3340BBA4-F84F-4B2C-802C-972AEE4F9654;520;37.00.01;Психология;;Магистратура;Очная форма;Бюджетные места;1;1
E9FC1742-ED32-4D4A-BCCF-803011A4920D;1579;37.00.01;Психология;;Магистратура;Заочная форма;С оплатой обучения;0;0
3340BBA4-F84F-4B2C-802C-972AEE4F9654;520;44.00.02;Психолого-педагогическое образование;;Магистратура;Очная форма;Бюджетные места;0;0
36B7747A-D38C-4FF3-8384-6B71025FC3A3;2975;15.00.05;Конструкторско-технологическое обеспечение машиностроительных производств;;Бакалавриат;Заочная форма;Бюджетные места;1;1
19289084-4D40-4BDB-8174-2DDDC3FE7069;2668;43.00.02;Туризм;;Бакалавриат;Очная форма;С оплатой обучения;0;0
E9FC1742-ED32-4D4A-BCCF-803011A4920D;1579;37.00.01;Психология;;Магистратура;Заочная форма;Бюджетные места;0;1
3340BBA4-F84F-4B2C-802C-972AEE4F9654;520;37.00.01;Психология;;Магистратура;Очная форма;С оплатой обучения;0;0
36B7747A-D38C-4FF3-8384-6B71025FC3A3;2975;15.00.04;Автоматизация технологических процессов и производств;;Бакалавриат;Заочная форма;Бюджетные места;0;0
19289084-4D40-4BDB-8174-2DDDC3FE7069;2668;43.00.02;Туризм;;Бакалавриат;Очная форма;Бюджетные места;0;0
19289084-4D40-4BDB-8174-2DDDC3FE7069;2668;40.00.01;Юриспруденция;;Бакалавриат;Очная форма;Бюджетные места;0;0
